"Method","Count"
"Visual analysis (unaided by equipment, particularly surface examination for wrinkles/tears/fading of inks and pigments, texture assessment, and colour change, mechanics, etc. as observed by the naked eye)",45
"Fourier-transform infrared spectroscopy (FTIR), infrared spectroscopy, Attenuated total reflectance FTIR (ATR-FTIR), synchotron-IR",31
"Light (optical) microscopy, Polarized light microscopy, Fluorescence microscopy, Light transmission analysis (LTA), stereomicroscope (non-thermography)",25
"Electron microscope, scanning electron microscopy (SEM), and SEM with energy dispersive x-ray spectroscopy (SEM-EDS, aka EDX)",20
"Differential scanning calorimetry (DSC), microDSC, and adiabatic scanning calorimetry (ASC)",18
"Raman spectroscopy (RS), polarised Raman spectroscopy, and Raman microspectroscopy (RMS)",17
"Micro hot table (MHT), hot table",15
"Colourimetric measurements (CIE*Lab colour change, and RGB imagery)",13
"UV-VIS-NIR spectroscopy (incl. fluorescence), UV-VIS spectroscopy (incl. fluorescence), nanoIR spectroscopy (incl. fluorescence), VIS spectroscopy (incl. fluorescence),",11
"Humidity sorption (RH), and hygroscopicity",10
"X-ray diffraction (XRD), all angles (e.g including wide angle X-ray diffraction (WAXD))",10
"Microbial/bacterial analysis (MA) (e.g. through PCR-based methods or in combination with microscopy), and fungal analysis",10
"Nuclear magnetic resonance (NMR) spectroscopy",9
"Thermogravimetry (thermogravimetric analysis) (TG), and derivative thermogravimetry (DTG)",8
"Multispectral imaging (MSI)",7
"Dynamic mechanical analysis (DMA), tensile strength tests",7
"Gas chromatography (GC), liquid chromatography (LC), liquid chromatography - mass spectrometry (LC-MS), size-exclusion chromatography",7
"Amino acid analysis (AAA)",6
"Nonlinear optical microscopy (NLO)",5
"X-ray fluorescence (XRF), energy dispersive XRF",5
"Atomic force microscopy (AFM), including any modified AFM probe",4
"Thermography (with a stereomicroscope)",4
"X-ray scattering (SAXS)",4
"Surface pH measurement",4
"Gel electrophoresis (GE), polyacrimide gel electrophoresis (SDS-PAGE)",4
"Fibre optic reflectance spectroscopy (FORS)",2
"Synchronous fluorescence (SF)",2
"Laser-induced breakdown spectroscopy (LIBS)",2
"Optical coherence tomography (OCT)",1
"3D Digital Image Correlation (DIC) for strain and displacement monitoring",1
"Differential thermal analysis (DTA)",1
"Infrared thermography",1
"Electron paramagnetic resonance (EPR) spectroscopy (also called Electron spin spectroscopy (ESR))",1
"Multiphoton electron extraction spectroscopy (MEES)",1
"X-ray photoelectron spectroscopy (XPS)",1
"Peptide mass fingerprinting",1
"Matrix-assisted laser desorption/ ionisation (mass spectrometry) for proteomics",1
"Lipid content determination with gravimetry",1
"Next generation sequencing (NGS), metagenomic analysis",1
"Roughness profiling",1
"Computed tomography (CT)",0
